wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
381,6.954471385,6.85581003,6.610721504,6.317082706,5.661646453,3.581074826,2.797571291,1.735588523,1.580535691,1.455971952,1.372259434,1.280112894,1.238987094,1.121057114,1.120404847,1.055469375,1.035172816,1.071429575,1.004893948
382,6.484538676,6.370299971,6.143215267,5.864977273,5.250192877,3.31410828,2.598724735,1.606430082,1.458018765,1.351351379,1.279838767,1.197218741,1.135757558,1.03641676,1.041384581,0.975952558,0.963241216,0.986679511,0.925668817
383,6.051424509,5.952685164,5.743659708,5.449957338,4.889220119,3.083659913,2.411971021,1.487798202,1.350940266,1.243085041,1.165907097,1.106906245,1.038914254,0.963853662,0.950079492,0.901676921,0.887371438,0.911110554,0.850364954
384,5.83780785,5.728099059,5.521651786,5.239505845,4.685105497,2.956565219,2.322253296,1.424490125,1.291698526,1.189048137,1.122168189,1.080906189,0.995825867,0.940863428,0.912234223,0.873999928,0.85910998,0.877708836,0.824710871
385,5.883595568,5.77631292,5.548299809,5.282730032,4.701232786,2.984434268,2.321873782,1.423328711,1.297675648,1.191005166,1.131989393,1.084538024,1.008305437,0.945377726,0.910891513,0.883964181,0.861811817,0.884803666,0.833469039
386,6.092841425,5.990811589,5.751013085,5.477392031,4.868549013,3.080287584,2.399906133,1.467503232,1.33825476,1.222619949,1.161165709,1.099883977,1.056167436,0.964127844,0.926383433,0.899174717,0.877280679,0.915296439,0.86304641
387,6.395776667,6.314434048,6.043576503,5.775127654,5.124271674,3.232682665,2.541678512,1.540495511,1.409115004,1.272717674,1.225877357,1.15847596,1.101974522,1.012084801,0.982548052,0.947465238,0.917059639,0.969243456,0.908668156
388,6.631597042,6.547611035,6.258844104,5.99022713,5.308061628,3.334663963,2.638144164,1.587300134,1.449613934,1.312823659,1.244218496,1.183829366,1.129278961,1.040970586,1.014124515,0.974034918,0.946630542,0.984974148,0.934217724
389,7.003271008,6.901767697,6.611361214,6.330108886,5.584533789,3.510240654,2.776484622,1.661013263,1.509025413,1.384761789,1.298597665,1.235538366,1.171515601,1.087085359,1.051927918,1.030449914,0.99289983,1.016444991,0.976576605
390,7.40129037,7.26828814,6.967332841,6.659040278,5.902482859,3.700132636,2.936020294,1.745075027,1.580847221,1.448422148,1.36688824,1.300349063,1.229723264,1.138666135,1.105240211,1.085599338,1.041872579,1.05943032,1.023638837
