wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
595,0.165554761,0.105272362,0.176370246,0.12122832,0.144473245,0.086820511,0.150721989,0.103957768,0.183253723,0.169865856,0.113347229,0.180097651,0.124652886,0.117293287,0.101585587,0.17015039,0.096133323,0.110928655,0.159079431
596,0.164676672,0.104774875,0.175681683,0.120513071,0.143719868,0.086324441,0.150240302,0.103556128,0.182440847,0.168970205,0.113692435,0.180195316,0.123823332,0.116656398,0.101093459,0.169450256,0.095718989,0.110482779,0.158654971
597,0.165163903,0.105078531,0.176405024,0.121061796,0.144338215,0.086878884,0.150783094,0.104069963,0.183388118,0.168967182,0.114006029,0.180233124,0.123683032,0.117102294,0.101571922,0.170167224,0.096078271,0.110986303,0.159354178
598,0.166144305,0.105540878,0.176774749,0.121710283,0.145164254,0.087369186,0.151943637,0.104440605,0.184750934,0.169567191,0.114922855,0.180810244,0.124544489,0.117857954,0.102138795,0.170859761,0.096626303,0.111689073,0.159903081
599,0.165026129,0.104846693,0.175481095,0.120912952,0.144540434,0.086854651,0.151283787,0.103718004,0.183841127,0.169326651,0.114172779,0.179490717,0.124131211,0.117104608,0.101302651,0.169649126,0.096201786,0.111051744,0.158674279
600,0.165411239,0.105179415,0.175660125,0.121300011,0.144900784,0.087087551,0.151456812,0.103909131,0.184340045,0.169219463,0.114049257,0.180073327,0.123926012,0.117419847,0.101769869,0.169913011,0.096388898,0.111224761,0.158663216
601,0.165079362,0.105044098,0.17512121,0.121006034,0.144638085,0.086894479,0.151206324,0.103757023,0.183970399,0.16918095,0.113923018,0.178823634,0.123526155,0.117138098,0.101451427,0.169605982,0.096211136,0.111002959,0.158492413
602,0.164124944,0.104671613,0.17446991,0.120338479,0.143950247,0.086478134,0.150288606,0.103162198,0.183030853,0.167707443,0.113655337,0.178559308,0.123445249,0.116270099,0.101109346,0.168829494,0.095708606,0.110446409,0.157576049
603,0.165659482,0.105650669,0.176170964,0.121401815,0.144982766,0.08723824,0.151840249,0.10425434,0.184295385,0.169472672,0.11392339,0.179894383,0.124329851,0.117383053,0.102178146,0.170271098,0.096295527,0.11139548,0.159044434
604,0.16654054,0.106182083,0.177098841,0.121737809,0.145540386,0.087354451,0.152558529,0.104765448,0.185112339,0.170771351,0.114656662,0.181340818,0.124572566,0.117945192,0.102599042,0.171127905,0.096597045,0.112016335,0.159629724
