wl,wing,face
541.028,17.3,90.12992
541.375,17.22,88.10624
541.722,17.56,88.47072
542.069,17.62,85.02176
542.416,17.03,83.18304
542.763,16.59,83.1776
543.11,16.72,83.18848
543.456,17.07,82.42688
543.803,16.87,83.34624
544.15,16.71,83.37344
544.496,15.82,83.67808
544.843,15.04,84.87488
545.189,16.06,85.37536
545.536,16.92,83.79232
545.882,16.52,85.35904
546.228,16.7,86.64288
546.575,16.32,86.28384
546.921,16.41,87.32288
547.267,16.03,86.38176
547.613,16.15,86.30016
547.96,15.76,85.1632
548.306,15.29,84.54304
548.652,17.12,83.55296
548.998,15.97,83.93376
549.344,16.01,86.62656
549.69,16.62,85.91392
550.035,16.27,85.71808
550.381,16.79,85.10336
550.727,14.93,85.9792
551.073,15.88,86.32736
551.419,16.12,87.2848
551.764,15.8,87.30112
552.11,15.61,85.00544
552.455,16.05,86.75168
552.801,16.46,86.40896
553.146,16.74,86.86592
553.492,17.46,85.52768
553.837,16.28,86.58304
554.183,16.23,85.37536
554.528,15.64,86.85504
554.873,14.65,85.30464
555.219,16.39,83.91744
555.564,15.75,84.50496
555.909,14.94,86.1696
556.254,16.08,86.84416
556.599,16.69,87.67648
556.944,17.09,84.95104
557.289,15.62,86.5504
557.634,15.04,86.04992
557.979,14.47,88.09536
558.324,14.88,87.53504
558.669,15.5,85.98464
559.013,15.62,85.23392
559.358,13.77,86.65376
559.703,15,87.52416
560.047,14.9,89.0528
560.392,14.66,89.34112
560.736,14.24,88.57952
561.081,15.44,86.24032
561.425,14.34,87.94848
561.77,15.21,88.808
562.114,14.7,85.7072
562.458,14.7,83.9392
562.803,15.94,85.27744
563.147,16.24,85.136
563.491,16.43,85.60928
563.835,16.25,88.14432
564.179,14.88,86.76256
564.523,15.02,87.29024
564.867,15.61,89.4064
565.211,15.6,87.57856
565.555,15.63,88.6176
565.899,14.91,86.8768
566.243,15.04,88.54144
566.587,14.84,86.5232
566.931,15.34,84.65728
567.274,13.29,86.24576
